comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting
inflammatory,xgboost,2005-2006,4448,533,combined_mec_weight,model0_core,model3_inflammatory,0.0019079851234238276,0.001107501501152408,0.0001947941788733587,0.0007768719776996558,0.34685117332314097,0.3730682317085824,1.0914968823179605,1.102883404404336,-0.026217058385441416,-0.011386522086375583,main_observed_class_distribution
inflammatory,xgboost,2007-2008,5649,677,combined_mec_weight,model0_core,model3_inflammatory,-0.00024121603240712108,0.008894791286892356,0.00017672485144043515,0.00018701307144167179,0.22120835108979198,0.24338811980647898,1.104812553275733,1.1098885767014228,-0.022179768716687004,-0.005076023425689913,main_observed_class_distribution
inflammatory,xgboost,2009-2010,5990,646,combined_mec_weight,model0_core,model3_inflammatory,-0.0008087358237645059,0.0024956897076007234,1.5076762267751675e-05,-0.0001524886883727261,-0.043858445971232465,-0.12989322952337018,1.0171474202076225,0.9647157571889142,-0.08603478355213771,-0.018136822603463276,main_observed_class_distribution
inflammatory,xgboost,2011-2012,5260,550,combined_mec_weight,model0_core,model3_inflammatory,-0.0004935335489750781,0.010722358491724815,0.00040510136957754017,0.0004026800255077234,-0.031997885009664315,-0.04386788280750348,0.9461705156422072,0.9313839795052198,-0.011869997797839163,-0.014786536136987438,main_observed_class_distribution
inflammatory,xgboost,2013-2014,5522,573,combined_mec_weight,model0_core,model3_inflammatory,0.001305052249173655,-0.004317636172039063,0.0001551879069881107,0.00040109609256872014,-0.15639975697187047,-0.06402166937319934,0.9440151005637389,1.0172064187108676,0.09237808759867114,0.03877848072539347,main_observed_class_distribution
inflammatory,xgboost,2015-2016,5404,597,combined_mec_weight,model0_core,model3_inflammatory,0.001982238663454483,0.0004087551223818098,0.00010406007208009493,0.0007498780492083967,0.014148179048497717,-0.007952564680948432,1.061405147115536,1.0495492445510881,0.006195614367549285,0.011855902564447796,main_observed_class_distribution
inflammatory,xgboost,2017-2018,5209,646,combined_mec_weight,model0_core,model3_inflammatory,0.0007159653084228834,-0.006207660564417072,-0.000695717253640496,-0.0008265755478453762,0.0007755849763560786,-0.08918289683108373,1.0079333879078458,0.956838345053648,-0.08840731185472765,-0.035228267038506234,main_observed_class_distribution
metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.003367131482436836,0.005025747255379742,0.0002699588961467547,0.0015475743921466723,-0.037452011008404576,-0.025433037370762454,0.9169226161188438,0.9269292456119126,0.012018973637642122,0.010006629493068742,main_observed_class_distribution
metabolic,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0007543095902587948,-0.004316419765807322,-1.362850219187306e-05,0.00028925038179944407,0.08536096448356978,0.07196322543903842,1.034723669788501,1.0299380556321263,0.013397739044531357,0.004785614156374685,main_observed_class_distribution
metabolic,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0020727032968980152,0.0011741921494740626,0.00026216802253965776,0.0010024670224908772,-0.1676307334190429,-0.1427029267267962,0.9693975315895426,0.9787573198908762,0.0249278066922467,0.00935978830133366,main_observed_class_distribution
metabolic,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.001741808927121169,0.0006013971812859897,5.311271871205614e-05,0.00028325905800261064,-0.043680254866580503,-0.05957656883564369,0.9109750364633609,0.9064394364242851,-0.015896313969063186,-0.004535600039075716,main_observed_class_distribution
